X,Y,Z,Name,Elevation,Location,Time Created
-119.03599,36.95906,0,FT1,0.0 ft,"36.95906, -119.03599","5/28/25, 12:56:32 PM PDT"
-119.04041,36.95766,0,FT10,0.0 ft,"36.95766, -119.04041","6/2/25, 12:05:38 PM PDT"
-119.04114,36.95836,0,FT11,0.0 ft,"36.95836, -119.04114","6/2/25, 12:44:52 PM PDT"
-119.04139,36.95879,0,FT12,0.0 ft,"36.95879, -119.04139","6/2/25, 1:43:13 PM PDT"
-119.04164,36.95938,0,FT13,0.0 ft,"36.95938, -119.04164","6/2/25, 2:00:51 PM PDT"
-119.04222,36.95999,0,FT14,0.0 ft,"36.95999, -119.04222","6/2/25, 2:55:18 PM PDT"
-119.0429,36.96042,0,FT15,0.0 ft,"36.96042, -119.04290","6/2/25, 3:06:50 PM PDT"
-119.04359,36.96072,0,FT16,0.0 ft,"36.96072, -119.04359","6/2/25, 4:10:08 PM PDT"
-119.04418,36.9606,0,FT17,0.0 ft,"36.96060, -119.04418","6/9/25, 10:41:34 AM PDT"
-119.04484,36.96067,0,FT18,0.0 ft,"36.96067, -119.04484","6/9/25, 11:30:17 AM PDT"
-119.04589,36.96072,0,FT19,0.0 ft,"36.96072, -119.04589","6/9/25, 11:37:53 AM PDT"
-119.03662,36.9597,0,FT2,0.0 ft,"36.95970, -119.03662","5/28/25, 1:28:51 PM PDT"
-119.04706,36.96076,0,FT20,0.0 ft,"36.96076, -119.04706","6/9/25, 12:06:54 PM PDT"
-119.0484,36.96045,0,FT21,0.0 ft,"36.96045, -119.04840","6/9/25, 1:12:01 PM PDT"
-119.04966,36.96011,0,FT22,0.0 ft,"36.96011, -119.04966","6/9/25, 1:42:45 PM PDT"
-119.05105,36.95971,0,FT23,0.0 ft,"36.95971, -119.05105","6/9/25, 2:32:44 PM PDT"
-119.04979,36.95916,0,FT24,0.0 ft,"36.95916, -119.04979","6/9/25, 3:18:02 PM PDT"
-119.04903,36.95895,0,FT25,0.0 ft,"36.95895, -119.04903","6/9/25, 3:30:52 PM PDT"
-119.04843,36.95861,0,FT26,0.0 ft,"36.95861, -119.04843","6/9/25, 4:08:23 PM PDT"
-119.03701,36.95585,0,FT27,0.0 ft,"36.95585, -119.03701","6/10/25, 9:24:51 AM PDT"
-119.03792,36.95558,0,FT28,0.0 ft,"36.95558, -119.03792","6/10/25, 9:54:55 AM PDT"
-119.03895,36.95505,0,FT29,0.0 ft,"36.95505, -119.03895","6/10/25, 10:18:09 AM PDT"
-119.03751,36.96061,0,FT3,0.0 ft,"36.96061, -119.03751","5/28/25, 1:53:53 PM PDT"
-119.03985,36.95484,0,FT30,0.0 ft,"36.95484, -119.03985","6/10/25, 10:59:22 AM PDT"
-119.04393,36.95587,0,FT31,0.0 ft,"36.95587, -119.04393","6/10/25, 3:10:07 PM PDT"
-119.04443,36.95605,0,FT32,0.0 ft,"36.95605, -119.04443","6/10/25, 3:38:26 PM PDT"
-119.04529,36.95643,0,FT33,0.0 ft,"36.95643, -119.04529","6/10/25, 4:21:57 PM PDT"
-119.04106,36.95494,0,FT34,0.0 ft,"36.95494, -119.04106","6/10/25, 11:39:26 AM PDT"
-119.04187,36.95524,0,FT35,0.0 ft,"36.95524, -119.04187","6/10/25, 12:17:08 PM PDT"
-119.04229,36.95545,0,FT36,0.0 ft,"36.95545, -119.04229","6/10/25, 1:25:29 PM PDT"
-119.04272,36.95551,0,FT37,0.0 ft,"36.95551, -119.04272","6/10/25, 1:52:06 PM PDT"
-119.04302,36.9556,0,FT38,0.0 ft,"36.95560, -119.04302","6/10/25, 2:21:15 PM PDT"
-119.04342,36.95575,0,FT39,0.0 ft,"36.95575, -119.04342","6/10/25, 2:44:46 PM PDT"
-119.03607,36.95673,0,FT4,0.0 ft,"36.95673, -119.03607","6/2/25, 9:15:50 AM PDT"
-119.04592,36.95676,0,FT40,0.0 ft,"36.95676, -119.04592","6/10/25, 4:42:43 PM PDT"
-119.04645,36.95719,0,FT41,0.0 ft,"36.95719, -119.04645","6/12/25, 1:54:47 PM PDT"
-119.04725,36.95782,0,FT42,0.0 ft,"36.95782, -119.04725","6/12/25, 2:13:52 PM PDT"
-119.04789,36.95814,0,FT43,0.0 ft,"36.95814, -119.04789","6/12/25, 2:45:46 PM PDT"
-119.03736,36.95685,0,FT5,0.0 ft,"36.95685, -119.03736","6/2/25, 9:26:58 AM PDT"
-119.04054,36.95813,0,FT6,0.0 ft,"36.95813, -119.04054","6/2/25, 10:13:04 AM PDT"
-119.03896,36.95658,0,FT7,0.0 ft,"36.95658, -119.03896","6/2/25, 10:33:09 AM PDT"
-119.03996,36.95718,0,FT9,0.0 ft,"36.95718, -119.03996","6/2/25, 11:26:13 AM PDT"
